Positive,Negative
good,bad
great,terrible
excellent,awful
amazing,horrible
wonderful,disgusting
fantastic,dreadful
awesome,poor
outstanding,disappointing
brilliant,miserable
superb,unpleasant
perfect,annoying
delightful,frustrating
pleasant,depressing
enjoyable,upsetting
lovely,disturbing
charming,irritating
impressive,offensive
remarkable,unacceptable
exceptional,pathetic
magnificent,useless
marvelous,worthless
fabulous,inferior
terrific,faulty
incredible,defective
inspiring,broken
encouraging,damaged
uplifting,unreliable
satisfying,ineffective
rewarding,inefficient
valuable,problematic
beneficial,troublesome
helpful,harmful
useful,dangerous
successful,risky
prosperous,unfortunate
fortunate,unlucky
lucky,hopeless
joyful,sad
happy,unhappy
cheerful,gloomy
optimistic,pessimistic
positive,negative
enthusiastic,indifferent
excited,bored
grateful,resentful
thankful,bitter
appreciated,ignored
respected,rejected
admired,despised
loved,hated
trusted,suspicious
welcomed,excluded
supported,abandoned
comfortable,uncomfortable
confident,insecure
secure,vulnerable
peaceful,stressful
calm,anxious
relaxed,tense
refreshing,exhausting
vibrant,lifeless
energetic,tired
motivated,discouraged
creative,unimaginative
innovative,outdated
intelligent,foolish
talented,incompetent
skilled,unskilled
capable,incapable
efficient,wasteful
productive,unproductive
reliable,unstable
dependable,undependable
honest,dishonest
friendly,hostile
kind,cruel
caring,uncaring
generous,selfish
compassionate,heartless
thoughtful,inconsiderate
respectful,disrespectful
courageous,cowardly
strong,weak
resilient,fragile
elegant,clumsy
beautiful,ugly
attractive,unattractive
stunning,dull
radiant,shameful
glorious,disgraceful
prestigious,disreputable
celebrated,criticized
victorious,defeated
extraordinary,mediocre
phenomenal,atrocious
heartwarming,heartbreaking
admirable,neglected
treasured,detested
beloved,desperate
hopeful,furious
